tweetid,user,content,date,lang,sentiment
768213567418036224,3429794128,"@myendlesshazza a que puto mal escribo b me sigo surrando help 3 ha quedado raro el ""cometelo"" ahi jajajaja",2016-08-23 22:29:21+00:00,es,0
768221670255493120,396616007,quiero mogollon a @albabenito99 pero sobretodo por lo rapido que contesta a los wasaps,2016-08-23 23:01:33+00:00,es,1
768221021300264960,2845050061,vale he visto la tia bebiendose su regla y me hs dado muchs grima,2016-08-23 22:58:58+00:00,es,0
768220253730009088,442100979,@yulian_poe @guillermoterry1 ah mucho mas por supuesto solo que lo incluyo me habias entendido mal,2016-08-23 22:55:55+00:00,es,1
768231229439311872,529648312,@toni_end seria mejor que dejasen de emitir esa basura ya  hay que evolucionar para bien y eso,2016-08-23 23:39:32+00:00,es,0
768231166965145600,369649173,"@jonoro96 te mandaria a comprarte un burro, pero no creo que hayan tiendas abiertas ahora",2016-08-23 23:39:17+00:00,es,0
768224471127826432,2683093804,@hywzz la voz de maria al final me mata jajajsjajajaj quilla y yo que,2016-08-23 23:12:41+00:00,es,0
768223146868703232,572913138,@mendescodes @heroinseb enserio cuando habeis dicho que los froot loops estan malos me ha dolido,2016-08-23 23:07:25+00:00,es,0
768228580673347584,4404885016,oye @luciaskaa te pones a hablar con @josecs02 como en los viejos tiempos y no avisas  @juanalfonso251 @crisdazgar,2016-08-23 23:29:01+00:00,es,0
768228346232729600,542779679,"@jclilgangster yo tengo que aguantar 4 niños pequeños, no se que es peor",2016-08-23 23:28:05+00:00,es,0
768018934385807360,280549140,"es muy raro el sentimiento que tengo ahora, aunque en fin que mas dara",2016-08-23 09:35:57+00:00,es,neu
768055768700575744,1719716053,"@xz4dry @xslgy tienes pinta buena gente por lo q veo, t he conocio gracias a qt",2016-08-23 12:02:19+00:00,es,1
768065433362726912,713800163895218176,@albgard oh  me estas llamando gordo jajaja grazie ruliño  lo mismo puedo decir,2016-08-23 12:40:43+00:00,es,0
768064453246128128,99989361,@seestrena seestrenasietevidas seria un gato tipo garfield porque soy un poco vago y porque me encanta la lasaña,2016-08-23 12:36:50+00:00,es,1
768063661541851136,1611426930,@prxttytimebomb @emimartinez_98 si es que odio a muerte a la nueva harley que quieres,2016-08-23 12:33:41+00:00,es,0
